Time,PID,Virt,Res,CPU,Memory,TCP Connections,Thread Count,User,System,Children_User,Children_System,IO,uss,swap,processor_num,core_num,cpu_num,cpu_ids,process_status,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
2025-05-20 02:20:12,14280,1630208,753664,0.0,0.0022583733795710735,0,1,0.29,0.02,0.0,0.0,0.0,925696,0,1,1,1,0,running,378,599,14000128,16384,5681541,19408638
2025-05-20 02:20:13,14280,1630208,753664,99.4,0.0022583733795710735,0,1,1.38,0.04,0.0,0.0,0.0,925696,0,1,1,1,0,running,1746,2863,34988032,16384,28089383,93595390
2025-05-20 02:20:14,14280,1630208,753664,100.4,0.0022583733795710735,0,1,2.43,0.07,0.0,0.0,0.0,925696,0,1,1,1,0,running,2965,5570,55975936,16384,48056609,182298366
2025-05-20 02:20:15,14280,1630208,753664,98.8,0.0022583733795710735,0,1,3.46,0.09,0.0,0.0,0.0,925696,0,1,1,1,0,running,4536,8177,81174528,16384,73789588,267724542
2025-05-20 02:20:16,14280,1630208,753664,98.0,0.0022583733795710735,0,1,4.46,0.13,0.0,0.0,0.0,925696,0,1,1,1,0,running,6129,10940,106373120,16384,99882931,358262526
2025-05-20 02:20:17,14280,1630208,753664,99.2,0.0022583733795710735,0,1,5.5,0.14,0.0,0.0,0.0,925696,0,1,1,1,0,running,7718,13556,135749632,16384,125910758,443983614
2025-05-20 02:20:18,14280,1630208,753664,99.2,0.0022583733795710735,0,1,6.6,0.16,0.0,0.0,0.0,925696,0,1,1,1,0,running,8695,15165,148348928,16384,141914018,496707326
2025-05-20 02:20:20,14280,1630208,753664,99.0,0.0022583733795710735,0,1,7.68,0.18,0.0,0.0,0.0,925696,0,1,1,1,0,running,9296,16158,160948224,16384,151758398,529245950
2025-05-20 02:20:21,14280,1630208,753664,99.5,0.0022583733795710735,0,1,8.71,0.21,0.0,0.0,0.0,925696,0,1,1,1,0,running,10397,17973,177741824,16384,169792776,588719870
2025-05-20 02:20:22,14280,1630208,753664,99.6,0.0022583733795710735,0,1,9.72,0.25,0.0,0.0,0.0,925696,0,1,1,1,0,running,11986,20677,202924032,16384,195820599,677324542
2025-05-20 02:20:23,14280,1630208,753664,98.6,0.0022583733795710735,0,1,10.72,0.29,0.0,0.0,0.0,925696,0,1,1,1,0,running,13510,23297,228122624,16384,220783722,763176702
2025-05-20 02:20:24,14280,1630208,753664,98.8,0.0022583733795710735,0,1,11.75,0.31,0.0,0.0,0.0,925696,0,1,1,1,0,running,15148,25988,257515520,16384,247614166,851355390
2025-05-20 02:20:25,14280,1630208,753664,99.7,0.0022583733795710735,0,1,12.77,0.34,0.0,0.0,0.0,925696,0,1,1,1,0,running,16782,28681,282697728,16384,274379086,939599614
2025-05-20 02:20:26,14280,1630208,753664,98.5,0.0022583733795710735,0,1,13.79,0.36,0.0,0.0,0.0,925696,0,1,1,1,0,running,18413,31458,307896320,16384,301094868,1030596350
2025-05-20 02:20:27,14280,1630208,753664,99.6,0.0022583733795710735,0,1,14.81,0.39,0.0,0.0,0.0,925696,0,1,1,1,0,running,20065,34185,337272832,16384,328154635,1119954686
2025-05-20 02:20:28,14280,1630208,753664,99.6,0.0022583733795710735,0,1,15.83,0.42,0.0,0.0,0.0,925696,0,1,1,1,0,running,21646,36888,362471424,16384,354051414,1208526590
2025-05-20 02:20:29,14280,1630208,753664,99.6,0.0022583733795710735,0,1,16.87,0.43,0.0,0.0,0.0,925696,0,1,1,1,0,running,23288,39601,387653632,16384,380947374,1297426174
2025-05-20 02:20:30,14280,1630208,753664,97.7,0.0022583733795710735,0,1,17.88,0.45,0.0,0.0,0.0,925696,0,1,1,1,0,running,24914,42407,417046528,16384,407581253,1389373182
2025-05-20 02:20:31,14280,1630208,753664,100.5,0.0022583733795710735,0,1,18.91,0.48,0.0,0.0,0.0,925696,0,1,1,1,0,running,26557,45224,442245120,16384,434493596,1481680638
2025-05-20 02:20:32,14280,1630208,753664,100.5,0.0022583733795710735,0,1,19.92,0.53,0.0,0.0,0.0,925696,0,1,1,1,0,running,28172,47892,467427328,16384,460947296,1569105662
2025-05-20 02:20:33,14280,1630208,753664,98.7,0.0022583733795710735,0,1,20.94,0.55,0.0,0.0,0.0,925696,0,1,1,1,0,running,29680,51009,492625920,16384,485648334,1671243518
2025-05-20 02:20:34,14280,1630208,753664,98.9,0.0022583733795710735,0,1,21.99,0.56,0.0,0.0,0.0,925696,0,1,1,1,0,running,31293,53805,522018816,16384,512069273,1762862846
2025-05-20 02:20:35,14280,1630208,753664,99.6,0.0022583733795710735,0,1,23.05,0.57,0.0,0.0,0.0,925696,0,1,1,1,0,running,32784,56263,543006720,16384,536491853,1843406590
2025-05-20 02:20:37,14280,1630208,753664,100.6,0.0022583733795710735,0,1,24.15,0.59,0.0,0.0,0.0,925696,0,1,1,1,0,running,33757,57876,559800320,16384,552429594,1896261374
2025-05-20 02:20:38,14280,1630208,753664,98.9,0.0022583733795710735,0,1,25.6,0.61,0.0,0.0,0.0,925696,0,1,1,1,0,running,34128,58605,568188928,16384,558506574,1920149246
2025-05-20 02:20:39,14280,1630208,753664,98.8,0.0022583733795710735,0,1,27.04,0.62,0.0,0.0,0.0,925696,0,1,1,1,0,running,34352,58974,572399616,16384,562175694,1932240638
2025-05-20 02:20:41,14280,1630208,753664,98.1,0.0022583733795710735,0,1,28.58,0.64,0.0,0.0,0.0,925696,0,1,1,1,0,running,34585,59362,572399616,16384,565992234,1944954622
2025-05-20 02:20:42,14280,1630208,753664,99.5,0.0022583733795710735,0,1,30.03,0.65,0.0,0.0,0.0,925696,0,1,1,1,0,running,34804,59722,576593920,16384,569579454,1956751102
2025-05-20 02:20:44,14280,1630208,753664,98.5,0.0022583733795710735,0,1,31.2,0.67,0.0,0.0,0.0,925696,0,1,1,1,0,running,35035,60101,580788224,16384,573363234,1969170174
2025-05-20 02:20:45,14280,1630208,753664,100.0,0.0022583733795710735,0,1,32.28,0.69,0.0,0.0,0.0,925696,0,1,1,1,0,running,36141,62025,601776128,16384,591479514,2032215806
2025-05-20 02:20:46,14280,1630208,753664,98.7,0.0022583733795710735,0,1,33.32,0.72,0.0,0.0,0.0,925696,0,1,1,1,0,running,37557,64368,622780416,16384,614673597,2108991230
2025-05-20 02:20:47,14280,1630208,753664,100.5,0.0022583733795710735,0,1,34.36,0.75,0.0,0.0,0.0,925696,0,1,1,1,0,running,39059,67430,647962624,16384,639276360,2209326846
2025-05-20 02:20:48,14280,1630208,753664,99.9,0.0022583733795710735,0,1,35.43,0.78,0.0,0.0,0.0,925696,0,1,1,1,0,running,40634,70620,673161216,16384,665074861,2313856766
2025-05-20 02:20:49,14280,1630208,753664,98.7,0.0022583733795710735,0,1,36.47,0.79,0.0,0.0,0.0,925696,0,1,1,1,0,running,41987,73488,694149120,16384,687237001,2407835390
2025-05-20 02:20:50,14280,1630208,753664,99.7,0.0022583733795710735,0,1,37.5,0.82,0.0,0.0,0.0,925696,0,1,1,1,0,running,43530,76397,719331328,16384,712511344,2503157502
2025-05-20 02:20:51,14280,1630208,753664,98.7,0.0022583733795710735,0,1,38.52,0.84,0.0,0.0,0.0,925696,0,1,1,1,0,running,45125,79151,748724224,16384,738637444,2593400574
2025-05-20 02:20:52,14280,1630208,753664,99.6,0.0022583733795710735,0,1,39.54,0.87,0.0,0.0,0.0,925696,0,1,1,1,0,running,46759,81950,773922816,16384,765402365,2685118206
2025-05-20 02:20:53,14280,1630208,753664,100.4,0.0022583733795710735,0,1,40.58,0.89,0.0,0.0,0.0,925696,0,1,1,1,0,running,48392,84802,799105024,16384,792150908,2778572542
2025-05-20 02:20:55,14280,1630208,753664,97.7,0.0022583733795710735,0,1,41.59,0.91,0.0,0.0,0.0,925696,0,1,1,1,0,running,49903,87800,824303616,16384,816901092,2876811006
2025-05-20 02:20:56,14280,1630208,753664,99.6,0.0022583733795710735,0,1,42.62,0.93,0.0,0.0,0.0,925696,0,1,1,1,0,running,51491,90960,849485824,16384,842912535,2980357886
2025-05-20 02:20:57,14280,1630208,753664,98.6,0.0022583733795710735,0,1,43.63,0.96,0.0,0.0,0.0,925696,0,1,1,1,0,running,53039,93620,878927872,16384,868268775,3067520766
2025-05-20 02:20:58,14280,1630208,753664,100.6,0.0022583733795710735,0,1,44.68,0.97,0.0,0.0,0.0,925696,0,1,1,1,0,running,54497,97321,894828544,16384,892150818,3188795134
