Time,PID,Virt,Res,CPU,Memory,TCP Connections,Thread Count,User,System,Children_User,Children_System,IO,uss,swap,processor_num,core_num,cpu_num,cpu_ids,process_status,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
2025-05-20 02:21:34,14838,48889856,29097984,0.0,0.08719285048083102,0,1,0.45,0.01,0.0,0.0,0.0,15122432,0,1,1,1,0,sleeping,4874,39,33259520,0,19896840,59997249
2025-05-20 02:21:36,14838,48877568,29081600,52.4,0.08714375540736208,0,1,1.04,0.03,0.0,0.0,0.0,15155200,0,1,1,1,0,running,10364,80,54247424,0,42318416,127994318
2025-05-20 02:21:37,14838,52887552,33013760,27.2,0.0989265730399068,0,1,1.33,0.05,0.0,0.0,0.0,19124224,0,1,1,1,0,sleeping,12807,100,62636032,0,52292212,159993232
2025-05-20 02:21:38,14838,52887552,33013760,0.0,0.0989265730399068,0,1,1.33,0.05,0.0,0.0,0.0,19124224,0,1,1,1,0,sleeping,12807,100,62636032,0,52292212,159993232
2025-05-20 02:21:39,14838,48877568,28934144,20.4,0.08670189974614165,0,1,1.55,0.06,0.0,0.0,0.0,15151104,0,1,1,1,0,sleeping,14635,115,71057408,0,59755151,183992043
2025-05-20 02:21:40,14838,48877568,28934144,19.3,0.08670189974614165,0,1,1.76,0.07,0.0,0.0,0.0,15175680,0,1,1,1,0,sleeping,16462,130,79446016,0,67213994,207990482
2025-05-20 02:21:41,14838,48877568,28934144,26.0,0.08670189974614165,0,1,2.05,0.08,0.0,0.0,0.0,15179776,0,1,1,1,0,sleeping,18914,150,87834624,0,77224654,239988508
2025-05-20 02:21:42,14838,48881664,28925952,19.6,0.08667735220940719,0,1,2.26,0.09,0.0,0.0,0.0,15175680,0,1,1,1,0,sleeping,20785,169,96223232,0,84855538,267986780
2025-05-20 02:21:43,14838,48881664,28925952,25.1,0.08667735220940719,0,1,2.54,0.09,0.0,0.0,0.0,15196160,0,1,1,1,0,sleeping,23281,185,108838912,0,95054605,295985257
2025-05-20 02:21:45,14838,48881664,28925952,18.8,0.08667735220940719,0,1,2.73,0.11,0.0,0.0,0.0,15196160,0,1,1,1,0,sleeping,25157,200,117227520,0,102714152,319984200
2025-05-20 02:21:46,14838,44875776,25100288,26.7,0.07521365255441054,0,1,3.01,0.13,0.0,0.0,0.0,11284480,0,1,1,1,0,sleeping,27615,220,125616128,0,112749388,351983010
2025-05-20 02:21:47,14838,48877568,29032448,19.6,0.08699647018695526,0,1,3.23,0.13,0.0,0.0,0.0,15200256,0,1,1,1,0,running,29549,240,134021120,0,120638320,383982070
2025-05-20 02:21:48,14838,48877568,29032448,22.7,0.08699647018695526,0,1,3.48,0.14,0.0,0.0,0.0,15200256,0,1,1,1,0,sleeping,31898,255,142426112,0,130235275,407981205
2025-05-20 02:21:49,14838,48881664,28971008,25.8,0.08681236366144676,0,1,3.76,0.15,0.0,0.0,0.0,15200256,0,1,1,1,0,sleeping,34347,275,150814720,0,140233647,439979947
2025-05-20 02:21:50,14838,48881664,28971008,19.6,0.08681236366144676,0,1,3.97,0.16,0.0,0.0,0.0,15204352,0,1,1,1,0,sleeping,36179,290,159203328,0,147712970,463979296
2025-05-20 02:21:51,14838,48881664,28971008,24.4,0.08681236366144676,0,1,4.23,0.18,0.0,0.0,0.0,15208448,0,1,1,1,0,sleeping,38627,310,171819008,0,157707246,495977772
2025-05-20 02:21:53,14838,48881664,28971008,25.9,0.08681236366144676,0,1,4.5,0.2,0.0,0.0,0.0,15208448,0,1,1,1,0,sleeping,41074,330,180224000,0,167697426,527976730
2025-05-20 02:21:54,14838,52887552,32923648,19.2,0.09865655013582765,0,1,4.71,0.21,0.0,0.0,0.0,19169280,0,1,1,1,0,sleeping,42909,345,188612608,0,175189037,551975643
2025-05-20 02:21:55,14838,48877568,28938240,25.8,0.08671417351450887,0,1,4.98,0.23,0.0,0.0,0.0,15204352,0,1,1,1,0,sleeping,45382,365,197001216,0,185285713,583974095
2025-05-20 02:21:56,14838,48881664,28835840,23.0,0.08640732930532803,0,1,5.23,0.24,0.0,0.0,0.0,15200256,0,1,1,1,0,running,47692,385,205406208,0,194714741,615972363
2025-05-20 02:21:57,14838,48881664,28835840,21.4,0.08640732930532803,0,1,5.46,0.25,0.0,0.0,0.0,15208448,0,1,1,1,0,sleeping,49652,400,213811200,0,202718352,639971024
2025-05-20 02:21:58,14838,48881664,28835840,25.9,0.08640732930532803,0,1,5.74,0.26,0.0,0.0,0.0,15212544,0,1,1,1,0,sleeping,52100,420,226394112,0,212712628,671969414
2025-05-20 02:21:59,14838,48881664,28835840,19.6,0.08640732930532803,0,1,5.93,0.29,0.0,0.0,0.0,15216640,0,1,1,1,0,sleeping,53940,440,234799104,0,220216536,703967866
2025-05-20 02:22:00,14838,48889856,28741632,25.9,0.08612503263288164,0,1,6.2,0.31,0.0,0.0,0.0,15216640,0,1,1,1,0,sleeping,56388,455,243187712,0,230218995,727966581
