Time,PID,Virt,Res,CPU,Memory,TCP Connections,Thread Count,User,System,Children_User,Children_System,IO,uss,swap,processor_num,core_num,cpu_num,cpu_ids,process_status,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
2025-05-20 02:19:46,14110,129429504,111423488,0.0,0.3338833208938691,0,1,0.77,0.05,0.0,0.0,0.0,81731584,0,1,1,1,0,running,1962,4,65536,8192,14266569,606
2025-05-20 02:19:47,14110,147345408,129249280,98.7,0.3872987608280719,0,1,1.77,0.06,0.0,0.0,0.0,99569664,0,1,1,1,0,running,2155,4,393216,8192,14490542,606
2025-05-20 02:19:48,14110,149389312,132325376,4.8,0.39651636087186465,0,1,1.82,0.06,0.0,0.0,0.0,102236160,0,1,1,1,0,running,2408,8,1896448,45056,15995640,1956
2025-05-20 02:19:49,14110,201342976,183889920,74.4,0.5510308308469747,1,1,2.58,0.07,0.0,0.0,0.0,153657344,0,1,1,1,0,sleeping,2436,8,1986560,45056,16069597,1956
2025-05-20 02:19:50,14110,307036160,289009664,82.7,0.8660248222236705,1,1,3.41,0.09,0.0,0.0,0.0,258822144,0,1,1,1,0,running,3451,9,4739072,65536,18832128,2463
2025-05-20 02:19:51,14110,319381504,302067712,99.1,0.9110450045946852,1,1,4.42,0.1,0.0,0.0,0.0,271867904,0,1,1,1,0,running,3770,9,5025792,65536,20523175,2463
2025-05-20 02:19:52,14110,438816768,419508224,79.8,1.2590308853425063,2,1,5.2,0.14,0.0,0.0,0.0,389373952,0,1,1,1,0,running,4794,10,5025792,69632,23288017,2970
2025-05-20 02:19:53,14110,657469440,487137280,92.5,1.4605047930906538,2,1,6.06,0.23,0.02,0.02,0.0,457125888,0,1,1,1,0,running,4967,350,55406592,69632,33659072,1333855
2025-05-20 02:19:54,14110,681889792,510279680,99.1,1.5290660631900237,2,1,7.05,0.26,0.02,0.02,0.0,480305152,0,1,1,1,0,running,5024,355,55406592,69632,40098232,1335251
2025-05-20 02:19:55,14110,693252096,522076160,97.1,1.5644145160876577,2,1,8.03,0.28,0.02,0.02,0.0,492077056,0,1,1,1,0,running,5608,364,55939072,69632,52179106,1337762
