Time	numpids	numthreads	maxprocessors	maxcores	maxcpus	cpu_ids	sumuss	sumswap	sum_read_count	sum_write_count	sum_read_bytes	sum_write_bytes	sum_read_chars	sum_write_chars
2025-05-20 02:20:31	6	32	8	4	1	0	1376034816	0	157382	91561	1453027328	1480769536	2962450725	2965370496
2025-05-20 02:20:32	6	32	8	4	1	0	1376051200	0	164333	96899	1478209536	1568169984	3076319901	3140187844
2025-05-20 02:20:33	6	32	8	4	1	0	1376075776	0	172080	103141	1503408128	1670447104	3203316728	3344594704
2025-05-20 02:20:34	6	32	8	4	1	0	1376088064	0	179266	108727	1532801024	1761779712	3321086264	3527538516
2025-05-20 02:20:35	6	32	8	4	1	0	1376108544	0	185691	113654	1553788928	1842626560	3426369113	3688920976
2025-05-20 02:20:37	6	32	8	4	1	0	1376116736	0	189884	116881	1570582528	1895456768	3495143641	3794597836
2025-05-20 02:20:38	6	32	8	4	1	0	1376063488	0	191732	118350	1578971136	1919578112	3525347517	3842603054
2025-05-20 02:20:39	6	32	8	4	1	0	1376088064	0	192707	119097	1583181824	1931833344	3541276746	3866949776
2025-05-20 02:20:41	6	32	8	4	1	0	1376112640	0	193687	119866	1583181824	1944186880	3557453600	3892017394
2025-05-20 02:20:42	6	32	8	4	1	0	1376206848	0	194646	120599	1587376128	1956278272	3573137049	3915905364
2025-05-20 02:20:44	6	32	8	4	1	0	1376227328	0	195620	121354	1591570432	1968467968	3589117262	3940514230
2025-05-20 02:20:45	6	32	8	4	1	0	1376227328	0	200539	125187	1612558336	2030960640	3669739250	4066048498
2025-05-20 02:20:46	6	32	8	4	1	0	1376235520	0	206651	129882	1633562624	2107936768	3769926042	4219796022
2025-05-20 02:20:47	6	32	8	4	1	0	1376239616	0	214294	136016	1658744832	2208505856	3895120233	4420696698
2025-05-20 02:20:48	6	32	8	4	1	0	1376251904	0	222209	142380	1683943424	2312421376	4024853306	4629134036
2025-05-20 02:20:49	6	32	8	4	1	0	1376256000	0	229335	148139	1704931328	2407092224	4141707187	4817779472
2025-05-20 02:20:50	6	32	8	4	1	0	1376260096	0	236691	153957	1730113536	2502356992	4262263239	5008358220
2025-05-20 02:20:51	6	32	8	4	1	0	1376280576	0	243796	159468	1759506432	2592641024	4378689096	5188877192
2025-05-20 02:20:52	6	32	8	4	1	0	1376284672	0	251031	165069	1784705024	2684395520	4497228694	5372345284
2025-05-20 02:20:53	6	32	8	4	1	0	1376288768	0	258364	170773	1809887232	2777759744	4617357946	5559155720
2025-05-20 02:20:55	6	32	8	4	1	0	1376288768	0	265873	176772	1835085824	2876006400	4740372463	5755632716
2025-05-20 02:20:56	6	32	8	4	1	0	1376292864	0	273779	183093	1860268032	2979524608	4869925166	5962693768
2025-05-20 02:20:57	6	32	8	4	1	0	1376292864	0	280656	188421	1889710080	3066855424	4982631322	6137183458
2025-05-20 02:20:58	6	32	8	4	1	0	1376817152	0	289493	195815	1905610752	3187777536	5127458690	6379371814
2025-05-20 02:20:59	3	8	6	4	1	0	1533014016	0	235894	98460	1010782208	3190263808	5155354299	3193210048
2025-05-20 02:21:00	3	8	5	3	1	0	1533022208	0	236959	98460	1010782208	3190263808	6272087739	3193210048
2025-05-20 02:21:01	3	8	5	3	1	0	1532841984	0	238065	98464	1010782208	3190296576	7427600798	3193210244
2025-05-20 02:21:02	5	21	8	4	1	0	1562959872	0	240812	98497	1020125184	3190300672	7599062517	3193227978
2025-05-20 02:21:03	6	32	8	4	1	0	1556295680	0	243889	98504	1020125184	3190325248	7797917006	3193228336
2025-05-20 02:21:04	6	32	8	4	1	0	1556299776	0	246524	98508	1020125184	3190325248	7970344101	3193228412
2025-05-20 02:21:05	6	32	8	4	1	0	1556328448	0	249141	98512	1020125184	3190325248	8141591548	3193228488
2025-05-20 02:21:06	6	32	8	4	1	0	1556332544	0	251367	98515	1020125184	3190325248	8287279948	3193228556
2025-05-20 02:21:07	6	32	8	4	1	0	1556340736	0	252068	98520	1020125184	3190325248	8332960421	3193228662
2025-05-20 02:21:09	6	32	8	4	1	0	1556348928	0	252462	98526	1020125184	3190325248	8358326607	3193228776
2025-05-20 02:21:10	6	32	8	4	1	0	1556369408	0	252867	98531	1020125184	3190325248	8384608423	3193228882
2025-05-20 02:21:12	6	32	8	4	1	0	1556385792	0	253276	98535	1020125184	3190325248	8411152383	3193228958
2025-05-20 02:21:13	6	32	8	4	1	0	1556406272	0	253701	98541	1020125184	3190325248	8438550191	3193229072
2025-05-20 02:21:14	6	32	8	4	1	0	1556414464	0	255457	98545	1020125184	3190325248	8553436675	3193229170
2025-05-20 02:21:15	6	32	8	4	1	0	1556504576	0	258762	98547	1020125184	3190325248	8769903951	3193229230
2025-05-20 02:21:16	6	32	8	4	1	0	1556508672	0	261878	98549	1020125184	3190325248	8973984922	3193229290
2025-05-20 02:21:18	6	32	8	4	1	0	1556557824	0	265114	98551	1020125184	3190325248	9185930213	3193229350
2025-05-20 02:21:19	6	32	8	4	1	0	1556566016	0	268137	98554	1020125184	3190325248	9383850810	3193229418
2025-05-20 02:21:20	6	32	8	4	1	0	1556574208	0	270808	98557	1020125184	3190325248	9558702735	3193229486
2025-05-20 02:21:21	6	32	8	4	1	0	1556582400	0	273724	98559	1020125184	3190325248	9749676507	3193229546
2025-05-20 02:21:22	6	32	8	4	1	0	1556590592	0	275603	98561	1020125184	3190325248	9872689447	3193229606
2025-05-20 02:21:23	6	32	8	4	1	0	1556606976	0	276533	98565	1020125184	3190325248	9933313993	3193229704
2025-05-20 02:21:24	6	32	8	4	1	0	1556635648	0	276924	98569	1020125184	3190325248	9958743838	3193229802
2025-05-20 02:21:26	6	32	8	4	1	0	1556652032	0	277278	98573	1020125184	3190325248	9981748850	3193229900
2025-05-20 02:21:27	6	32	8	4	1	0	1556652032	0	279034	98576	1020125184	3190325248	10096506131	3193229968
2025-05-20 02:21:28	6	32	8	4	1	0	1556668416	0	281548	98579	1020125184	3190325248	10261068904	3193230036
2025-05-20 02:21:29	6	32	8	4	1	0	1556684800	0	284417	98581	1020125184	3190329344	10448962485	3193230096
2025-05-20 02:21:30	3	8	6	3	1	0	1533026304	0	238230	98492	1010782208	3190321152	7494744008	3193218063
2025-05-20 02:21:31	3	8	6	3	1	0	1547718656	0	239168	98492	1010782208	3190321152	8478308296	3193218063
2025-05-20 02:21:32	3	8	6	3	1	0	1557155840	0	240137	98492	1010782208	3190321152	9494378440	3193218063
2025-05-20 02:21:33	3	8	5	3	1	0	1675649024	0	241377	98696	1010782208	3190587392	10513759024	3193223423
2025-05-20 02:21:34	16	50	8	4	1	0	1881264128	0	248505	98894	1065881600	3193671680	10730689047	3280277551
2025-05-20 02:21:36	17	60	8	4	1	0	1935691776	0	256720	99187	1086869504	3202273280	10909830217	3436852580
2025-05-20 02:21:37	17	60	8	4	1	0	1953452032	0	260566	99443	1095258112	3210838016	10995593370	3533403551
2025-05-20 02:21:38	17	60	8	4	1	0	1923305472	0	261195	99657	1095258112	3219271680	11022989315	3565849362
2025-05-20 02:21:39	17	60	8	4	1	0	1946439680	0	264326	99870	1103679488	3226513408	11101913501	3645078902
2025-05-20 02:21:40	17	60	8	4	1	0	1955414016	0	267643	100104	1112068096	3234582528	11191454843	3733141784
2025-05-20 02:21:41	17	60	8	4	1	0	1946464256	0	271625	100359	1120456704	3243204608	11285383107	3829761851
2025-05-20 02:21:42	17	60	8	4	1	0	1950023680	0	275159	100614	1128845312	3251888128	11385167126	3930441170
2025-05-20 02:21:43	17	60	8	4	1	0	2008203264	0	279065	100864	1141460992	3260583936	11471571142	4015131718
2025-05-20 02:21:45	17	60	8	4	1	0	2052452352	0	282327	101105	1149849600	3269038080	11554361598	4095575085
2025-05-20 02:21:46	17	60	8	4	1	0	2048581632	0	286456	101364	1158238208	3278000128	11656840715	4200535491
2025-05-20 02:21:47	17	60	8	4	1	0	1960370176	0	290055	101623	1166643200	3287027712	11756942126	4305557654
2025-05-20 02:21:48	17	60	8	4	1	0	2020786176	0	293791	101882	1175048192	3296317440	11844390866	4386843533
2025-05-20 02:21:49	17	60	8	4	1	0	2039009280	0	297917	102143	1183436800	3305238528	11947093677	4491760441
2025-05-20 02:21:50	17	60	8	4	1	0	1994797056	0	301182	102400	1191825408	3314266112	12031802581	4572788714
2025-05-20 02:21:51	17	60	8	4	1	0	1965441024	0	305321	102667	1204441088	3323359232	12135156186	4677875590
2025-05-20 02:21:53	17	60	8	4	1	0	1969070080	0	309455	102930	1212846080	3332399104	12238375133	4782915177
2025-05-20 02:21:54	17	60	8	4	1	0	1977069568	0	312760	103196	1221234688	3341611008	12324926825	4880121886
2025-05-20 02:21:55	17	60	8	4	1	0	2010185728	0	316881	103453	1229623296	3350458368	12426160186	4968965075
2025-05-20 02:21:56	17	60	8	4	1	0	2005676032	0	320891	103720	1238028288	3359633408	12529341352	5074134370
2025-05-20 02:21:57	17	60	8	4	1	0	1982353408	0	324253	103968	1246433280	3368263680	12613131767	5154763603
2025-05-20 02:21:58	17	60	8	4	1	0	2010406912	0	328377	104229	1259016192	3377209344	12715829174	5259702506
2025-05-20 02:21:59	17	60	8	4	1	0	2000683008	0	331904	104496	1267421184	3386286080	12816501555	5364776186
2025-05-20 02:22:00	17	60	8	4	1	0	2027802624	0	335784	104751	1275809792	3395219456	12903660806	5445703664
2025-05-20 02:22:02	17	60	8	4	1	0	2040598528	0	339947	105017	1284214784	3404337152	13007231476	5550820944
2025-05-20 02:22:03	17	60	8	4	1	0	1998860288	0	343499	105286	1292603392	3413499904	13108175484	5655978403
2025-05-20 02:22:04	17	60	8	4	1	0	1951608832	0	347355	105539	1301008384	3422347264	13194700987	5736821903
2025-05-20 02:22:05	17	60	8	4	1	0	1945071616	0	351323	105800	1313591296	3431288832	13296755959	5841753250
2025-05-20 02:22:06	17	60	8	4	1	0	2005692416	0	354750	106059	1321996288	3440447488	13382365708	5922909844
2025-05-20 02:22:07	17	60	8	4	1	0	2020909056	0	358897	106325	1330417664	3449540608	13485756394	6028001569
2025-05-20 02:22:08	17	60	8	4	1	0	1959849984	0	362431	106581	1338806272	3458203648	13585266712	6132659849
2025-05-20 02:22:09	17	60	8	4	1	0	1982541824	0	366283	106839	1347194880	3467345920	13672676807	6213794155
2025-05-20 02:22:10	17	60	8	4	1	0	1956311040	0	370404	107099	1359810560	3476303872	13775485419	6318746261
2025-05-20 02:22:12	17	60	8	4	1	0	1938878464	0	373682	107361	1364004864	3485523968	13860588536	6407963356
2025-05-20 02:22:13	17	60	8	4	1	0	1979334656	0	377817	107627	1376587776	3494567936	13963940596	6505002555
2025-05-20 02:22:14	17	60	8	4	1	0	1999642624	0	381949	107892	1384976384	3503636480	14067255324	6610068970
2025-05-20 02:22:15	17	60	8	4	1	0	2007662592	0	385742	108163	1393381376	3512901632	14169666534	6715318745
2025-05-20 02:22:16	17	60	8	4	1	0	2009657344	0	389416	108431	1401769984	3522314240	14257233867	6796730249
2025-05-20 02:22:17	17	60	8	4	1	0	2009698304	0	393577	108701	1414385664	3531468800	14360914413	6901877863
2025-05-20 02:22:18	17	60	8	4	1	0	2025467904	0	397730	108966	1422790656	3540602880	14464321285	7007008902
2025-05-20 02:22:19	17	60	8	4	1	0	2031230976	0	401019	109226	1431195648	3549822976	14549483736	7088227410
2025-05-20 02:22:21	17	60	8	4	1	0	2007949312	0	405180	109493	1439584256	3558961152	14652927392	7193358895
2025-05-20 02:22:22	17	60	8	4	1	0	2015678464	0	409337	109756	1447972864	3567996928	14755997584	7298389494
2025-05-20 02:22:23	17	60	8	4	1	0	2007711744	0	412648	110016	1456377856	3577184256	14841118326	7379574385
2025-05-20 02:22:24	17	60	8	4	1	0	1984794624	0	416796	110272	1468977152	3585961984	14943325185	7484349476
2025-05-20 02:22:25	17	60	8	4	1	0	1969016832	0	420432	110532	1477382144	3594997760	15044147557	7589382141
2025-05-20 02:22:26	17	60	8	4	1	0	1984614400	0	424217	110784	1485787136	3603972096	15130273480	7670352089
2025-05-20 02:22:27	17	60	8	4	1	0	1987235840	0	427406	111006	1494175744	3611738112	15210623790	7750117687
2025-05-20 02:22:28	17	60	8	4	1	0	2018148352	0	430623	111237	1502564352	3619880960	15292161438	7830257181
2025-05-20 02:22:30	17	60	8	4	1	0	2022170624	0	434605	111476	1510985728	3627986944	15391784177	7934360517
2025-05-20 02:22:31	17	60	8	4	1	0	2020110336	0	437986	111733	1519374336	3637018624	15476602719	8015387716
2025-05-20 02:22:32	17	60	8	4	1	0	2007887872	0	441882	111982	1527762944	3645562880	15576816293	8119927446
2025-05-20 02:22:33	17	60	8	4	1	0	2005590016	0	445248	112199	1536151552	3653099520	15657535163	8199462564
2025-05-20 02:22:34	17	60	8	4	1	0	1999343616	0	448497	112436	1544572928	3661418496	15739803056	8279776101
