Time,PID,Virt,Res,CPU,Memory,TCP Connections,Thread Count,User,System,Children_User,Children_System,IO,uss,swap,processor_num,core_num,cpu_num,cpu_ids,process_status,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
2025-05-20 03:23:37,18987,2194735104,30437376,0.0,0.09120637273691656,0,13,0.02,0.07,0.0,0.0,0.0,26439680,0,7,4,1,0,sleeping,7519,3749,7077888,122458112,122497540,122457767
2025-05-20 03:23:39,18987,2194735104,30437376,12.3,0.09120637273691656,0,13,0.04,0.18,0.0,0.0,0.0,9170944,0,7,4,1,0,sleeping,19060,9520,7077888,311562240,311647836,311561895
2025-05-20 03:23:40,18987,2194735104,30437376,12.3,0.09120637273691656,0,13,0.05,0.3,0.0,0.0,0.0,9170944,0,6,3,1,0,sleeping,30676,15332,7077888,502030336,502174724,502009511
2025-05-20 03:23:41,18987,2194735104,30437376,12.3,0.09120637273691656,0,13,0.07,0.41,0.0,0.0,0.0,9170944,0,6,3,1,0,sleeping,42424,21210,7077888,694620160,694799276,694619815
2025-05-20 03:23:42,18987,2194735104,30437376,12.3,0.09120637273691656,0,13,0.09,0.52,0.0,0.0,0.0,9170944,0,6,3,1,0,sleeping,54241,27119,7077888,888246272,888472660,888245927
2025-05-20 03:23:43,18987,2194735104,30437376,11.4,0.09120637273691656,0,13,0.11,0.62,0.0,0.0,0.0,9170944,0,7,4,1,0,sleeping,65881,32939,7077888,1078956032,1079228980,1078955687
2025-05-20 03:23:44,18987,2194735104,30437376,13.3,0.09120637273691656,0,13,0.13,0.74,0.0,0.0,0.0,9170944,0,6,3,1,0,sleeping,77615,38806,7077888,1271205888,1271525772,1271205543
2025-05-20 03:23:45,18987,2194735104,30437376,12.3,0.09120637273691656,0,13,0.16,0.84,0.0,0.0,0.0,9170944,0,6,3,1,0,sleeping,89177,44587,7077888,1460637696,1461003828,1460637351
2025-05-20 03:23:46,18987,2194735104,30437376,11.4,0.09120637273691656,0,13,0.16,0.96,0.0,0.0,0.0,9170944,0,6,3,1,0,sleeping,100775,50386,7077888,1650659328,1651071852,1650658983
2025-05-20 03:23:47,18987,2194735104,30437376,13.3,0.09120637273691656,0,13,0.18,1.08,0.0,0.0,0.0,9170944,0,7,4,1,0,sleeping,112297,56149,7077888,1839501312,1839959940,1839500967
2025-05-20 03:23:48,18987,2194735104,30437376,13.3,0.09120637273691656,0,13,0.19,1.21,0.0,0.0,0.0,9170944,0,6,3,1,0,sleeping,123750,61876,7077888,2027163648,2027668092,2027163303
2025-05-20 03:23:49,18987,2194735104,30437376,11.3,0.09120637273691656,0,13,0.2,1.32,0.0,0.0,0.0,9170944,0,6,3,1,0,sleeping,134329,67168,7077888,2200571904,2201118684,2200571559
2025-05-20 03:23:50,18987,2194735104,30437376,13.1,0.09120637273691656,0,13,0.21,1.45,0.0,0.0,0.0,9170944,0,6,3,1,0,sleeping,143544,71775,7077888,2351542272,2352150492,2351533735
2025-05-20 03:23:51,18987,2194735104,30437376,13.0,0.09120637273691656,0,13,0.23,1.57,0.0,0.0,0.0,9170944,0,6,3,1,0,sleeping,151731,75872,7077888,2485784576,2486400988,2485784231
2025-05-20 03:23:52,18987,2194735104,30437376,12.7,0.09120637273691656,0,13,0.25,1.69,0.0,0.0,0.0,9170944,0,7,4,1,0,sleeping,160077,80058,7077888,2622951424,2623601324,2622951079
2025-05-20 03:23:53,18987,2194735104,30437376,12.8,0.09120637273691656,0,13,0.28,1.8,0.0,0.0,0.0,9170944,0,7,4,1,0,sleeping,168295,84167,7077888,2757595136,2758277908,2757594791
2025-05-20 03:23:55,18987,2194735104,30437376,13.0,0.09120637273691656,0,13,0.31,1.91,0.0,0.0,0.0,9170944,0,6,3,1,0,sleeping,176422,88232,7077888,2890797056,2891512348,2890796711
2025-05-20 03:23:56,18987,2194735104,30437376,13.8,0.09120637273691656,0,13,0.33,2.04,0.0,0.0,0.0,9170944,0,7,4,1,0,sleeping,184708,92375,7077888,3026554880,3027303316,3026554535
