Time,PID,Virt,Res,CPU,Memory,TCP Connections,Thread Count,User,System,Children_User,Children_System,IO,uss,swap,processor_num,core_num,cpu_num,cpu_ids,process_status,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
2025-05-20 03:23:37,19031,1630208,737280,0.0,0.002209278306102137,0,1,0.68,0.04,0.0,0.0,0.0,909312,0,1,1,1,0,running,1107,3803,26583040,16384,17622580,124397310
2025-05-20 03:23:39,19031,1630208,737280,99.8,0.002209278306102137,0,1,1.71,0.07,0.0,0.0,0.0,909312,0,1,1,1,0,running,2719,9595,51781632,16384,44027140,314189566
2025-05-20 03:23:40,19031,1630208,737280,98.5,0.002209278306102137,0,1,2.7,0.12,0.0,0.0,0.0,909312,0,1,1,1,0,running,4331,15405,76963840,16384,70431700,504571646
2025-05-20 03:23:41,19031,1630208,737280,98.7,0.002209278306102137,0,1,3.71,0.15,0.0,0.0,0.0,909312,0,1,1,1,0,running,5940,21282,106356736,16384,96787120,697149182
2025-05-20 03:23:42,19031,1630208,737280,99.4,0.002209278306102137,0,1,4.71,0.2,0.0,0.0,0.0,909312,0,1,1,1,0,running,7578,27194,131538944,16384,123617560,890873598
2025-05-20 03:23:43,19031,1630208,737280,98.7,0.002209278306102137,0,1,5.71,0.24,0.0,0.0,0.0,909312,0,1,1,1,0,running,9189,33010,156737536,16384,150005740,1081452286
2025-05-20 03:23:44,19031,1630208,737280,99.3,0.002209278306102137,0,1,6.74,0.26,0.0,0.0,0.0,909312,0,1,1,1,0,running,10812,38887,186130432,16384,176590480,1274029822
2025-05-20 03:23:45,19031,1630208,737280,98.7,0.002209278306102137,0,1,7.7,0.34,0.0,0.0,0.0,909312,0,1,1,1,0,running,12388,44654,211312640,16384,202405360,1463002878
2025-05-20 03:23:46,19031,1630208,737280,99.6,0.002209278306102137,0,1,8.71,0.38,0.0,0.0,0.0,909312,0,1,1,1,0,running,13984,50459,236511232,16384,228547840,1653221118
2025-05-20 03:23:47,19031,1630208,737280,99.4,0.002209278306102137,0,1,9.75,0.39,0.0,0.0,0.0,909312,0,1,1,1,0,running,15588,56224,261693440,16384,254821360,1842128638
2025-05-20 03:23:48,19031,1630208,737280,100.4,0.002209278306102137,0,1,10.77,0.43,0.0,0.0,0.0,909312,0,1,1,1,0,running,17176,61946,286892032,16384,280832800,2029627134
2025-05-20 03:23:49,19031,1630208,737280,98.9,0.002209278306102137,0,1,11.79,0.46,0.0,0.0,0.0,909312,0,1,1,1,0,running,18634,67238,312074240,16384,304714840,2203035390
2025-05-20 03:23:50,19031,1630208,737280,100.2,0.002209278306102137,0,1,12.85,0.48,0.0,0.0,0.0,909312,0,1,1,1,0,running,19900,71843,333062144,16384,325451920,2353932030
2025-05-20 03:23:51,19031,1630208,737280,99.0,0.002209278306102137,0,1,13.89,0.51,0.0,0.0,0.0,909312,0,1,1,1,0,running,21042,75940,354066432,16384,344157880,2488182526
2025-05-20 03:23:52,19031,1630208,737280,100.3,0.002209278306102137,0,1,14.96,0.55,0.0,0.0,0.0,909312,0,1,1,1,0,running,22205,80139,370860032,16384,363207820,2625775358
2025-05-20 03:23:53,19031,1630208,737280,99.4,0.002209278306102137,0,1,16.01,0.58,0.0,0.0,0.0,909312,0,1,1,1,0,running,23339,84233,391847936,16384,381782740,2759927550
2025-05-20 03:23:55,19031,1630208,737280,99.6,0.002209278306102137,0,1,17.06,0.61,0.0,0.0,0.0,909312,0,1,1,1,0,running,24463,88312,408657920,16384,400193860,2893588222
2025-05-20 03:23:56,19031,1630208,737280,100.1,0.002209278306102137,0,1,18.12,0.63,0.0,0.0,0.0,909312,0,1,1,1,0,running,25598,92445,425451520,16384,418785160,3029018366
2025-05-20 03:23:57,19031,1630208,737280,100.2,0.002209278306102137,0,1,19.16,0.67,0.0,0.0,0.0,909312,0,1,1,1,0,running,26736,96555,446439424,16384,437425600,3163694846
2025-05-20 03:23:58,19031,1630208,737280,98.3,0.002209278306102137,0,1,20.2,0.69,0.0,0.0,0.0,909312,0,1,1,1,0,running,27848,100562,463233024,16384,455640160,3294996222
2025-05-20 03:23:59,19031,1630208,737280,100.4,0.002209278306102137,0,1,21.3,0.72,0.0,0.0,0.0,909312,0,1,1,1,0,running,28733,103765,480026624,16384,470136460,3399952126
2025-05-20 03:24:00,19031,1630208,737280,99.3,0.002209278306102137,0,1,22.49,0.74,0.0,0.0,0.0,909312,0,1,1,1,0,running,29134,105206,484220928,16384,476704840,3447170814
2025-05-20 03:24:01,19031,1630208,737280,99.8,0.002209278306102137,0,1,23.56,0.77,0.0,0.0,0.0,909312,0,1,1,1,0,running,29687,107215,492625920,16384,485762980,3513001726
2025-05-20 03:24:02,19031,1630208,737280,99.1,0.002209278306102137,0,1,24.58,0.8,0.0,0.0,0.0,909312,0,1,1,1,0,running,30794,111261,513613824,16384,503895640,3645581054
2025-05-20 03:24:03,19031,1630208,737280,98.4,0.002209278306102137,0,1,25.58,0.84,0.0,0.0,0.0,909312,0,1,1,1,0,running,32184,116288,534618112,16384,526663840,3810305790
2025-05-20 03:24:04,19031,1630208,737280,99.8,0.002209278306102137,0,1,26.6,0.88,0.0,0.0,0.0,909312,0,1,1,1,0,running,33603,121387,559800320,16384,549907060,3977389822
2025-05-20 03:24:05,19031,1630208,737280,99.5,0.002209278306102137,0,1,27.62,0.91,0.0,0.0,0.0,909312,0,1,1,1,0,running,35004,126453,580788224,16384,572855440,4143392510
2025-05-20 03:24:07,19031,1630208,737280,99.4,0.002209278306102137,0,1,28.63,0.95,0.0,0.0,0.0,909312,0,1,1,1,0,running,36405,131545,605986816,16384,595803820,4310247166
2025-05-20 03:24:08,19031,1630208,737280,99.0,0.002209278306102137,0,1,29.64,0.99,0.0,0.0,0.0,909312,0,1,1,1,0,running,37740,136378,626974720,16384,617671120,4468614910
2025-05-20 03:24:09,19031,1630208,737280,100.5,0.002209278306102137,0,1,30.67,1.02,0.0,0.0,0.0,909312,0,1,1,1,0,running,39121,141355,647962624,16384,640291900,4631701246
2025-05-20 03:24:10,19031,1630208,737280,98.3,0.002209278306102137,0,1,31.68,1.05,0.0,0.0,0.0,909312,0,1,1,1,0,running,40504,146335,673161216,16384,662945440,4794885886
2025-05-20 03:24:11,19031,1630208,737280,99.4,0.002209278306102137,0,1,32.72,1.06,0.0,0.0,0.0,909312,0,1,1,1,0,running,41909,151440,694149120,16384,685959340,4962166526
2025-05-20 03:24:12,19031,1630208,737280,98.6,0.002209278306102137,0,1,33.72,1.1,0.0,0.0,0.0,909312,0,1,1,1,0,running,43300,156490,719347712,16384,708743920,5127644926
2025-05-20 03:24:13,19031,1630208,737280,99.5,0.002209278306102137,0,1,34.73,1.14,0.0,0.0,0.0,909312,0,1,1,1,0,running,44701,161566,740335616,16384,731692300,5293975294
2025-05-20 03:24:14,19031,1630208,737280,100.4,0.002209278306102137,0,1,35.74,1.19,0.0,0.0,0.0,909312,0,1,1,1,0,running,46099,166633,761323520,16384,754591540,5460010750
2025-05-20 03:24:15,19031,1630208,737280,99.6,0.002209278306102137,0,1,36.76,1.22,0.0,0.0,0.0,909312,0,1,1,1,0,running,47474,171645,786522112,16384,777114040,5624243966
2025-05-20 03:24:16,19031,1630208,737280,99.3,0.002209278306102137,0,1,37.78,1.25,0.0,0.0,0.0,909312,0,1,1,1,0,running,48881,176730,807510016,16384,800160700,5790869246
2025-05-20 03:24:17,19031,1630208,737280,99.7,0.002209278306102137,0,1,38.83,1.27,0.0,0.0,0.0,909312,0,1,1,1,0,running,50294,181824,832692224,16384,823305640,5957789438
2025-05-20 03:24:18,19031,1630208,737280,98.9,0.002209278306102137,0,1,39.86,1.29,0.0,0.0,0.0,909312,0,1,1,1,0,running,51708,186912,853696512,16384,846466960,6124513022
2025-05-20 03:24:19,19031,1630208,737280,96.6,0.002209278306102137,0,1,40.86,1.31,0.0,0.0,0.0,909312,0,1,1,1,0,running,53044,191762,878878720,16384,868350640,6283437822
2025-05-20 03:24:20,19031,1630208,737280,99.5,0.002209278306102137,0,1,41.88,1.34,0.0,0.0,0.0,909312,0,1,1,1,0,running,54457,196883,899866624,16384,891495580,6451242750
2025-05-20 03:24:21,19031,1630208,737280,99.6,0.002209278306102137,0,1,42.91,1.36,0.0,0.0,0.0,909312,0,1,1,1,0,running,55856,201940,925065216,16384,914411200,6616950526
2025-05-20 03:24:22,19031,1630208,737280,99.7,0.002209278306102137,0,1,43.91,1.41,0.0,0.0,0.0,909312,0,1,1,1,0,running,57269,207053,946053120,16384,937556140,6784493310
2025-05-20 03:24:23,19031,1630208,737280,98.6,0.002209278306102137,0,1,44.91,1.45,0.0,0.0,0.0,909312,0,1,1,1,0,running,58679,212147,971251712,16384,960651940,6951413502
2025-05-20 03:24:24,19031,1630208,737280,99.5,0.002209278306102137,0,1,45.93,1.48,0.0,0.0,0.0,909312,0,1,1,1,0,running,60081,217216,992239616,16384,983616700,7117514494
2025-05-20 03:24:26,19031,1630208,737280,98.4,0.002209278306102137,0,1,46.95,1.5,0.0,0.0,0.0,909312,0,1,1,1,0,running,61473,222227,1013243904,16384,1006417660,7281714942
2025-05-20 03:24:27,19031,1630208,737280,98.8,0.002209278306102137,0,1,47.98,1.51,0.0,0.0,0.0,909312,0,1,1,1,0,running,62864,227272,1038442496,16384,1029202240,7447029502
2025-05-20 03:24:28,19031,1630208,737280,99.5,0.002209278306102137,0,1,49.0,1.54,0.0,0.0,0.0,909312,0,1,1,1,0,running,64269,232340,1059430400,16384,1052216140,7613097726
2025-05-20 03:24:29,19031,1630208,737280,99.6,0.002209278306102137,0,1,50.03,1.56,0.0,0.0,0.0,909312,0,1,1,1,0,running,65672,237427,1084612608,16384,1075197280,7779788542
2025-05-20 03:24:30,19031,1630208,737280,99.5,0.002209278306102137,0,1,51.04,1.6,0.0,0.0,0.0,909312,0,1,1,1,0,running,67050,242427,1105616896,16384,1097768920,7943628542
2025-05-20 03:24:31,19031,1630208,737280,100.0,0.002209278306102137,0,1,52.07,1.63,0.0,0.0,0.0,909312,0,1,1,1,0,running,68469,247557,1130799104,16384,1121012140,8111728382
2025-05-20 03:24:32,19031,1630208,737280,99.3,0.002209278306102137,0,1,53.07,1.68,0.0,0.0,0.0,909312,0,1,1,1,0,running,69856,252548,1151787008,16384,1143731200,8275273470
2025-05-20 03:24:33,19031,1630208,737280,98.5,0.002209278306102137,0,1,54.06,1.73,0.0,0.0,0.0,909312,0,1,1,1,0,running,71252,257571,1176985600,16384,1166597680,8439867134
