Time,PID,Virt,Res,CPU,Memory,TCP Connections,Thread Count,User,System,Children_User,Children_System,IO,uss,swap,processor_num,core_num,cpu_num,processor_ids,core_ids,cpu_ids,process_status,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
2025-11-05 17:33:17,2855501,15175680,8392704,0.0,0.008288693453534085,0,1,0.0,0.0,0.0,0.0,0.0,2371584,0,1,1,1,16,9,1,sleeping,41,0,0,0,38386,0
2025-11-05 17:33:18,2855501,15474688,9027584,1.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:19,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:20,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:21,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:22,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:23,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:24,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:25,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:26,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:27,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:28,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:29,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:30,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:31,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:32,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:33,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:35,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:36,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:37,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:38,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:39,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:40,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:41,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:42,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:43,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:44,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:45,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:46,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:47,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:48,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:49,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:50,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:51,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:52,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:53,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:54,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:55,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:56,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:57,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:33:59,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2834432,0,1,1,1,16,9,1,sleeping,61,3,0,0,45783,665
2025-11-05 17:34:00,2855501,15474688,9027584,0.0,0.008915705403410993,1,1,0.01,0.0,0.0,0.0,0.0,2863104,0,1,1,1,16,9,1,sleeping,210,127,0,475136,537222,475279
2025-11-05 17:34:01,2855501,15474688,9027584,64.1,0.008915705403410993,1,1,0.23,0.45,0.0,0.0,0.0,2863104,0,1,1,1,14,4,1,running,22603,29344,0,120053760,120275754,120051673
