Time,PID,Virt,Res,CPU,Memory,TCP Connections,Thread Count,User,System,Children_User,Children_System,IO,uss,swap,processor_num,core_num,cpu_num,processor_ids,core_ids,cpu_ids,process_status,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
2025-11-05 17:34:50,2855691,7233536,1384448,0.0,0.0013672905745702884,0,1,0.0,0.02,0.0,0.0,0.0,663552,0,1,1,1,35,8,1,running,2663,2359,0,0,13553066,151679
2025-11-05 17:34:51,2855691,7233536,1384448,14.5,0.0013672905745702884,0,1,0.06,0.11,0.0,0.0,0.0,663552,0,1,1,1,35,8,1,sleeping,22727,18891,0,0,116680106,1159721
2025-11-05 17:34:52,2855691,7233536,1384448,10.7,0.0013672905745702884,0,1,0.1,0.18,0.0,0.0,0.0,663552,0,1,1,1,35,8,1,sleeping,40523,29720,0,0,207938986,1675001
2025-11-05 17:34:53,2855691,7233536,1384448,13.6,0.0013672905745702884,0,1,0.14,0.28,0.0,0.0,0.0,663552,0,1,1,1,35,8,1,running,76197,35116,0,0,390817194,1952766
2025-11-05 17:34:55,2855691,7233536,1384448,20.4,0.0013672905745702884,0,1,0.2,0.43,0.0,0.0,0.0,663552,0,1,1,1,35,8,1,running,140056,36961,0,0,717899178,2064297
2025-11-05 17:34:56,2855691,7233536,1384448,9.7,0.0013672905745702884,0,1,0.24,0.49,0.0,0.0,0.0,663552,0,1,1,1,35,8,1,sleeping,158617,44090,0,0,813000106,2425786
2025-11-05 17:34:57,2855691,7233536,1384448,8.7,0.0013672905745702884,0,1,0.26,0.56,0.0,0.0,0.0,663552,0,1,1,1,35,8,1,sleeping,176100,49483,0,0,902514090,2708124
2025-11-05 17:34:58,2855691,7233536,1384448,7.8,0.0013672905745702884,0,1,0.28,0.62,0.0,0.0,0.0,663552,0,1,1,1,35,8,1,sleeping,196461,54183,0,0,1006781866,2981122
2025-11-05 17:34:59,2855691,7233536,1384448,9.7,0.0013672905745702884,0,1,0.31,0.69,0.0,0.0,0.0,663552,0,1,1,1,35,8,1,sleeping,215287,60166,0,0,1103283626,3288679
2025-11-05 17:35:00,2855691,7233536,1384448,6.8,0.0013672905745702884,0,1,0.32,0.75,0.0,0.0,0.0,663552,0,1,1,1,35,8,1,sleeping,232354,65258,0,0,1190667690,3505678
2025-11-05 17:35:01,2855691,7233536,1384448,10.7,0.0013672905745702884,0,1,0.38,0.8,0.0,0.0,0.0,663552,0,1,1,1,35,8,1,sleeping,248284,73656,0,0,1272243626,3864432
2025-11-05 17:35:02,2855691,7233536,1384448,8.7,0.0013672905745702884,0,1,0.41,0.86,0.0,0.0,0.0,663552,0,1,1,1,35,8,1,sleeping,266856,80685,0,0,1367401898,4160376
