Time,PID,Virt,Res,CPU,Memory,TCP Connections,Thread Count,User,System,Children_User,Children_System,IO,uss,swap,processor_num,core_num,cpu_num,processor_ids,core_ids,cpu_ids,process_status,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
2025-11-05 17:34:34,2855654,3735552,1794048,0.0,0.0017718144132005513,0,1,0.34,0.0,0.0,0.0,0.0,503808,0,1,1,1,14,4,1,running,71,0,4096,0,12856074,0
2025-11-05 17:34:35,2855654,3735552,1794048,99.1,0.0017718144132005513,0,1,1.35,0.01,0.0,0.0,0.0,503808,0,1,1,1,14,4,1,running,213,0,4096,0,50080522,0
2025-11-05 17:34:36,2855654,3735552,1794048,101.2,0.0017718144132005513,0,1,2.39,0.01,0.0,0.0,0.0,503808,0,1,1,1,14,4,1,running,292,0,4096,0,70789898,0
2025-11-05 17:34:37,2855654,3735552,1794048,99.1,0.0017718144132005513,0,1,3.4,0.02,0.0,0.0,0.0,503808,0,1,1,1,14,4,1,running,401,0,4096,0,99363594,0
2025-11-05 17:34:38,2855654,3735552,1794048,100.1,0.0017718144132005513,0,1,4.42,0.03,0.0,0.0,0.0,503808,0,1,1,1,14,4,1,running,553,0,4096,0,139209482,0
2025-11-05 17:34:39,2855654,3735552,1794048,100.1,0.0017718144132005513,0,1,5.45,0.03,0.0,0.0,0.0,503808,0,1,1,1,14,4,1,running,702,0,4096,0,178268938,0
2025-11-05 17:34:40,2855654,3735552,1794048,100.1,0.0017718144132005513,0,1,6.46,0.05,0.0,0.0,0.0,503808,0,1,1,1,14,4,1,running,855,0,4096,0,218376970,0
